구간,경도,위도,고도
501,126.985182,35.119039,612
502,126.985301,35.119013,612
503,126.985417,35.118978,613
504,126.98542,35.118973,613
505,126.985467,35.118962,613
506,126.985489,35.118969,613
507,126.985521,35.118949,613
508,126.985522,35.118949,613
509,126.985527,35.118945,613
510,126.985536,35.118945,613
511,126.985551,35.118939,613
512,126.985567,35.118941,613
513,126.985606,35.118937,613
514,126.985641,35.118937,613
515,126.985675,35.118953,618
516,126.985718,35.118954,618
517,126.985738,35.118951,618
518,126.985787,35.118969,618
519,126.985817,35.118978,618
520,126.985858,35.118989,618
521,126.985868,35.118985,618
522,126.985906,35.118979,618
523,126.985949,35.118963,629
524,126.986001,35.118963,629
525,126.986052,35.118957,629
526,126.986099,35.118957,629
527,126.986148,35.118957,629
528,126.98617,35.11896,629
529,126.986183,35.118962,629
530,126.986211,35.118953,632
531,126.986251,35.118959,632
532,126.986292,35.118961,632
533,126.986342,35.118974,632
534,126.986377,35.11898,632
535,126.986423,35.118979,632
536,126.986445,35.118994,632
537,126.986512,35.118999,638
538,126.986525,35.118991,638
539,126.986558,35.118992,638
540,126.986587,35.118982,638
541,126.986616,35.118977,638
542,126.986604,35.118981,638
543,126.986677,35.118991,638
544,126.986736,35.118997,638
545,126.986765,35.118977,645
546,126.986782,35.118978,645
547,126.986812,35.118982,645
548,126.986849,35.118949,645
549,126.986873,35.118927,645
550,126.98689,35.118908,645
551,126.986924,35.118893,635
552,126.986951,35.118883,635
553,126.986976,35.118871,635
554,126.987005,35.118855,635
555,126.987021,35.118845,635
556,126.98704,35.118845,642
557,126.98707,35.118842,642
558,126.987101,35.118839,642
559,126.987138,35.118835,642
560,126.987171,35.118818,642
561,126.98721,35.11882,642
562,126.987265,35.118842,642
563,126.987304,35.11885,642
564,126.987319,35.118848,646
565,126.987398,35.118839,646
566,126.987406,35.118832,646
567,126.987476,35.118817,646
568,126.987512,35.118827,646
569,126.987559,35.118843,646
570,126.987606,35.118836,648
571,126.987705,35.118847,648
572,126.987715,35.118836,648
573,126.98775,35.11884,648
574,126.98775,35.11884,648
575,126.987761,35.118844,648
576,126.987755,35.118841,648
577,126.987792,35.118841,648
578,126.98783,35.118841,648
579,126.98793,35.118823,652
580,126.987995,35.118795,652
581,126.987997,35.118792,652
582,126.988007,35.11879,652
583,126.988007,35.118793,652
584,126.988038,35.11879,652
585,126.98805,35.118792,652
586,126.988059,35.118799,652
587,126.988115,35.118773,652
588,126.988232,35.118782,660
589,126.988269,35.118787,660
590,126.988276,35.118785,660
591,126.988296,35.118788,660
592,126.988326,35.118776,660
593,126.988323,35.118776,660
594,126.988331,35.118786,660
595,126.988361,35.118788,660
596,126.988361,35.118781,660
597,126.98848,35.118774,669
598,126.988504,35.118773,669
599,126.988539,35.118761,669
600,126.98855,35.118756,669
